Codes,Names,violence_year_minus_3,violence_year_minus_2,violence_year_minus_1,violence_now,violence_2012
E01003157,Lambeth 023C,16,13,8,14,12
E01003158,Lambeth 023D,13,12,4,12,7
E01003159,Lambeth 022C,26,26,19,17,30
E01003160,Lambeth 022D,41,41,27,23,31
E01003161,Lambeth 023E,8,23,18,17,14
E01003162,Lambeth 022E,43,36,24,36,33
E01003163,Lambeth 023F,19,22,10,8,8
E01003164,Lambeth 025A,76,65,64,51,55
E01003165,Lambeth 025B,35,24,30,11,14
E01003166,Lambeth 028D,50,61,42,66,66
E01003167,Lambeth 028E,20,22,12,13,8
E01003168,Lambeth 025C,27,32,34,34,38
E01003169,Lambeth 025D,46,33,46,29,36
E01003170,Lambeth 025E,21,14,23,27,14
E01003171,Lambeth 020B,21,28,17,30,23
E01003172,Lambeth 024B,42,36,38,36,23
E01003173,Lambeth 020C,13,16,24,19,14
E01003174,Lambeth 024C,42,40,74,46,52
E01003175,Lambeth 024D,28,30,25,31,19
E01003176,Lambeth 016E,72,59,54,44,39
E01003177,Lambeth 020D,41,29,30,33,28
E01003178,Lambeth 020E,30,30,35,15,27
E01003179,Lambeth 024E,32,28,36,57,31
E01003180,Lambeth 005D,41,38,36,27,19
E01003181,Lambeth 007A,49,34,31,28,23
E01003182,Lambeth 009D,34,32,35,36,37
E01003183,Lambeth 005E,43,35,46,52,30
E01003184,Lambeth 007B,43,26,55,28,26
E01003185,Lambeth 007C,24,39,21,26,36
E01003186,Lambeth 007D,78,54,70,50,56
E01003187,Lambeth 007E,47,55,26,30,28
E01003188,Lambeth 009E,51,51,47,26,38
E01003189,Lewisham 034A,47,60,48,51,41
E01003190,Lewisham 034B,92,83,61,69,51
E01003191,Lewisham 034C,51,33,29,39,26
E01003192,Lewisham 034D,90,102,88,85,58
E01003193,Lewisham 029A,46,30,45,46,35
E01003194,Lewisham 029B,52,39,45,45,28
E01003195,Lewisham 029C,25,28,24,24,25
E01003196,Lewisham 029D,55,78,41,51,34
E01003197,Lewisham 029E,34,48,35,22,33
E01003198,Lewisham 009A,26,15,23,25,19
E01003199,Lewisham 007A,136,122,98,92,92
E01003200,Lewisham 009B,73,74,60,51,56
E01003201,Lewisham 007B,65,63,56,41,31
E01003202,Lewisham 009C,16,16,26,13,16
E01003203,Lewisham 009D,61,56,26,36,44
E01003204,Lewisham 007C,32,28,25,27,29
E01003205,Lewisham 007D,54,31,22,27,27
E01003206,Lewisham 007E,31,17,17,10,5
E01003207,Lewisham 005A,89,73,47,47,47
E01003208,Lewisham 008A,56,46,26,40,20
E01003209,Lewisham 005B,61,33,34,37,25
E01003210,Lewisham 005C,53,47,45,49,54
E01003211,Lewisham 008B,46,45,35,38,20
E01003212,Lewisham 005D,48,30,32,27,28
E01003213,Lewisham 008C,32,18,29,22,15
E01003214,Lewisham 008D,87,57,59,53,46
E01003215,Lewisham 005E,100,97,77,57,45
E01003216,Lewisham 025A,37,40,25,17,30
E01003217,Lewisham 022A,20,20,13,14,15
E01003218,Lewisham 022B,28,22,20,14,30
E01003219,Lewisham 025B,15,19,7,16,13
E01003220,Lewisham 022C,55,36,45,28,41
E01003221,Lewisham 025C,67,40,50,48,31
E01003222,Lewisham 022D,18,25,16,23,12
E01003223,Lewisham 025D,38,51,42,43,22
E01003224,Lewisham 022E,27,26,28,23,27
E01003225,Lewisham 015A,31,29,20,19,12
E01003226,Lewisham 019A,37,31,20,27,24
E01003227,Lewisham 019B,8,22,12,18,16
E01003228,Lewisham 019C,18,8,13,12,12
E01003229,Lewisham 019D,50,50,57,43,40
E01003230,Lewisham 019E,44,50,32,41,37
E01003231,Lewisham 015B,34,53,53,44,35
E01003232,Lewisham 015C,31,69,34,22,32
E01003233,Lewisham 015D,20,20,22,16,11
E01003234,Lewisham 036A,33,22,23,35,25
E01003235,Lewisham 036B,43,24,35,20,20
E01003236,Lewisham 032A,63,61,48,53,35
E01003237,Lewisham 032B,107,73,79,64,71
