Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01001701,Greenwich 015C,83,68,107,96,49
E01001702,Greenwich 015D,15,23,35,17,12
E01001703,Greenwich 011E,53,21,26,16,29
E01001704,Greenwich 011F,44,31,43,41,33
E01001705,Greenwich 005A,61,54,31,34,45
E01001706,Greenwich 005B,29,31,28,11,22
E01001707,Greenwich 004A,764,861,792,661,654
E01001708,Greenwich 005C,34,18,21,25,20
E01001709,Greenwich 004B,113,133,113,106,65
E01001710,Greenwich 005D,27,17,22,22,23
E01001711,Greenwich 004C,40,36,31,26,20
E01001712,Greenwich 004D,53,45,32,22,45
E01001713,Greenwich 005E,34,33,36,38,17
E01001714,Hackney 002A,36,26,40,22,36
E01001715,Hackney 007A,32,36,21,28,18
E01001716,Hackney 007B,44,33,44,56,51
E01001717,Hackney 007C,8,23,19,13,13
E01001718,Hackney 007D,107,77,86,120,132
E01001719,Hackney 007E,15,15,12,28,21
E01001720,Hackney 007F,45,54,52,65,54
E01001721,Hackney 002B,23,17,18,19,22
E01001722,Hackney 005A,44,58,43,48,52
E01001723,Hackney 006A,62,45,65,45,50
E01001724,Hackney 006B,89,80,86,72,75
E01001725,Hackney 004A,29,15,31,29,22
E01001726,Hackney 004B,18,11,13,23,22
E01001727,Hackney 006C,41,30,26,38,32
E01001728,Hackney 005B,32,28,27,30,31
E01001729,Hackney 019A,121,100,95,121,115
E01001730,Hackney 019B,75,49,57,42,66
E01001731,Hackney 017A,233,209,190,191,222
E01001732,Hackney 019C,38,39,54,58,40
E01001733,Hackney 015A,97,56,56,48,66
E01001734,Hackney 017B,135,106,117,132,106
E01001735,Hackney 019D,60,45,43,41,40
E01001736,Hackney 012A,29,58,36,67,47
E01001737,Hackney 012B,41,51,45,60,44
E01001738,Hackney 012C,53,35,38,44,52
E01001739,Hackney 012D,59,57,68,74,72
E01001740,Hackney 014A,30,30,30,32,38
E01001741,Hackney 009A,49,60,60,67,76
E01001742,Hackney 008A,51,58,75,108,98
E01001743,Hackney 021A,421,386,562,732,752
E01001744,Hackney 021B,66,61,72,52,64
E01001745,Hackney 016A,64,81,74,84,109
E01001746,Hackney 016B,13,12,14,12,18
E01001747,Hackney 014B,66,82,110,178,301
E01001748,Hackney 020A,276,300,255,289,279
E01001749,Hackney 020B,61,69,65,50,64
E01001750,Hackney 021C,86,53,75,69,91
E01001751,Hackney 021D,76,76,96,88,130
E01001752,Hackney 025A,75,49,68,73,86
E01001753,Hackney 025B,48,30,39,37,32
E01001754,Hackney 025C,86,74,89,120,124
E01001755,Hackney 025D,52,70,81,75,88
E01001756,Hackney 021E,108,127,130,150,222
E01001757,Hackney 016C,18,15,24,23,22
E01001758,Hackney 016D,30,30,37,40,40
E01001759,Hackney 016E,46,31,41,47,24
E01001760,Hackney 017C,223,252,257,286,271
E01001761,Hackney 016F,56,58,70,57,47
